Supporting Information for

Toward new solvents for EDLCs: From computational
screening to electrochemical validation

C. Schiitter,* T. Husch®, M. Korth>*, A. Balducci*:<*

@ University of Minster, MEET Battery Research Centre and Institute of Physical Chemistry, Corrensstr. 28/30, 48149 Minster (D)
> Ulm University, Institute for Theoretical Chemistry, Albert-Einstein-Allee 11, 89081 Ulm (D)
© Helmholtz Institute Ulm, Karlsruhe Institute of Technology, Helmholtzstrae 11, 89081 Ulm (D)

* Corresponding author e-mail: andrea.balducci@uni-muenster.de, martin.korth@uni-ulm.de

Contents:
1. SQM data set
2. DFT data set

1. SQM data set

ID HOMO/eV LUMO/eV n/cP Tb/K Tf/K Tm/K DeltaGsolv-Li-kcal/mol DeltaGsolv-pf6-kcal/mol
N10111409 -10.664 1.065 2.18152 557.521 366.618 77.0 -123.66195 -48.42626
N1011140 -10.833 1.077 1.30307 511.369 342.548 -6.2 -122.93593 -47.92572
N10111410 -10.545 1.054 2.28792 554.810 365.819 71.1 -123.12039 -48.46705
N10111411 -10.793 1.097 2.18694 554.393 364.754 61.7 -123.70679 -48.42140
N10111412 -10.593 1.027 2.43510 560.615 369.654 58.5 -122.96551 -48.37396
N10111413 -10.691 1.103 2.34131 559.219 368.222 46.2 -123.61564 -48.46955
N10111414 -10.916 1.099 2.30467 558.675 367.773 42.7 -123.66790 -48.36076
N10111415 -10.803 1.056 2.26209 557.103 366.986 45.6 -123.03254 -48.35552
N10111416 -10.764 1.098 2.28021 559.534 368.420 40.8 -123.01116 -48.34154
N10111417 -10.962 1.027 2.36128 560.851 369.451 40.8 -123.06887 -48.31328
N10111418 -10.879 1.127 1.75720 548.143 359.044 66.4 -123.94089 -48.18971
N10111419 -10.746 1.036 1.75271 542.215 356.115 67.2 -123.25046 -48.15885
N1011141 -10.992 1.073 1.58793 531.209 355.602 -8.4 -122.81087 -47.93517
N10111420 -11.090 1.021 1.84716 546.009 358.921 64.6 -123.08343 -48.06111
N10111421 -10.738 1.022 1.82570 542.006 356.712 68.1 -122.73221 -48.03274
N10111422 -10.855 1.123 1.80673 548.395 359.759 79.7 -123.64766 -48.10973
N10111423 -10.996 1.099 1.89017 550.255 361.238 73.8 -123.68456 -48.13974
N10111424 -10.872 1.075 1.78631 546.613 358.875 78.4 -123.19458 -48.07215
N10111425 -10.975 1.107 1.88125 550.119 361.269 63.9 -123.51229 -48.05001
N10111426 -10.776 1.050 1.85987 543.661 357.763 65.4 -123.01788 -48.08750
N10111427 -10.850 1.009 1.91580 545.592 359.199 62.4 -122.73336 -48.03597
N10111428 -10.680 1.005 1.90617 546.099 359.128 80.5 -123.33785 -48.21566
N10111429 -10.830 1.083 1.82777 545.326 358.076 75.7 -124.03701 -48.19823
N1011142 -10.933 1.012 1.44685 517.990 347.668 -9.7 -122.13188 -47.91696
N1C111430 -10.606 1.039 1.88885 541.423 356.487 78.4 -123.36624 -48.24797
N10111431 -10.933 1.044 1.97275 553.889 363.415 64.1 -123.88150 -48.19604
N10111432 -10.738 1.004 1.96624 548.902 360.954 65.8 -123.26592 -48.21143
N10111433 -11.035 1.008 1.98982 553.242 363.431 57.1 -123.45338 -48.10310
N10111434 -11.088 0.933 3.75092 597.534 387.779 32.8 -122.36885 -48.24004
N10111485 -10.965 0.931 4.25301 603.919 392.533 33.6 -122.25651 -48.31831
N10111436 -10.644 1.006 3.39044 582.645 381.601 39.5 -122.71453 -48.49085
N10111487 -10.647 1.041 3.28523 581.780 381.932 26.1 -122.64909 -48.52808
N10111438 -10.616 1.035 3.27295 585.596 381.242 49.3 -123.20948 -48.53145
N10111439 -10.622 1.021 3.38391 589.699 383.904 40.9 -123.11654 -48.52386
N1011148 -10.863 1.029 1.38438 515.956 345.800 -7.7 -122.27438 -47.95256
N10111440 -10.686 1.024 3.40207 588.622 384.633 37.7 -122.77979 -48.58480
N10111441 -10.639 1.004 3.21988 578.585 380.198 33.8 -122.57339 -48.49286
N10111442 -10.380 1.034 3.26302 586.352 383.096 33.0 -122.91130 -48.54192
N10111443 -10.684 1.002 3.48325 584.020 382.576 39.1 -122.65878 -48.51305
N10111444 -10.598 1.028 3.37988 588.062 382.968 39.6 -123.21673 -48.48596
N10111445 -10.638 1.033 3.17158 584.980 381.932 35.1 -122.86265 -48.54253
N10111446 -10.956 0.957 2.27091 562.160 367.469 64.4 -122.98559 -48.12876
N10111447 -10.885 1.022 2.23156 565.874 367.849 74.0 -123.56102 -48.19311
N10111448 -10.752 0.895 2.24071 555.151 363.933 65.7 -122.18351 -48.08347
N10111449 -10.896 0.979 2.32116 559.971 365.553 75.9 -122.57319 -48.04646
N1011144 -10.943 1.082 1.46754 524.149 350.965 -10.7 -122.51840 -47.92055
N10111450 -10.886 0.888 2.23419 554.793 363.688 65.9 -122.04114 -47.99055
N10111451 -10.939 1.014 2.10336 553.071 361.683 65.0 -123.01179 -48.16329
N10111452 -10.917 0.983 2.37336 561.482 366.453 72.1 -122.71733 -48.11295
N10111453 -10.845 1.021 2.25461 561.517 365.756 69.4 -123.16541 -48.19365
N10111454 -10.904 0.937 2.33678 558.735 364.940 70.8 -122.35300 -48.08588
N10111455 -10.651 1.055 2.24523 560.567 365.064 59.1 -123.42305 -48.18793
N10111456 -10.529 0.984 2.21298 551.927 360.560 67.3 -122.65217 -48.13679
N10111457 -10.860 1.018 2.29213 557.918 364.019 67.9 -122.93473 -48.19009
N10111458 -10.784 1.025 2.38667 559.397 363.955 69.6 -123.00852 -48.10878
N10111459 -10.845 1.036 2.42675 560.591 364.701 65.2 -123.14574 -48.11626
N1011145 -11.155 1.025 1.56998 521.536 350.363 -6.9 -122.23912 -47.85366
N10111460 -10.725 1.078 2.42824 569.452 369.312 66.5 -123.49830 -48.26961
N10111461 -10.731 1.119 2.43670 572.644 371.061 57.6 -123.95889 -48.28009
N10111462 -10.863 0.873 2.52095 558.692 367.363 64.1 -121.85392 -47.99833
N10111463 -10.886 0.937 2.59746 562.082 368.073 72.2 -122.22648 -48.08244
N10111464 -10.776 0.931 2.50401 558.447 365.681 71.3 -122.18993 -48.09220
N10111465 -10.594 0.962 2.48042 556.379 364.445 69.7 -122.30427 -48.03889
N10111466 -10.683 0.995 2.50937 560.098 365.100 68.1 -122.63043 -48.08325
N10111467 -10.712 0.994 2.53667 559.337 364.754 67.4 -122.58865 -48.11038
N10111468 -10.792 0.936 2.46178 559.244 365.924 71.3 -122.26811 -48.06853
N10111469 -10.979 1.067 2.41049 569.484 370.536 66.3 -123.24826 -48.22810
N1011146 -11.000 1.027 1.56843 522.910 351.140 -12.8 -122.24912 -47.94003
N10111470 -10.845 0.994 2.57193 561.657 366.219 64.8 -122.60374 -48.05910
N10111471 -10.687 1.126 2.50946 578.729 374.721 54.2 -123.71544 -48.22702
N10111472 -11.075 1.011 2.79485 579.801 376.285 74.5 -123.29482 -48.26645
N10111473 -10.976 1.050 2.84288 582.466 377.957 74.1 -123.37329 -48.27060
N10111474 -10.825 0.963 2.41152 568.110 371.078 64.6 -123.34231 -48.23188
N10111475 -10.813 1.019 2.52327 569.974 370.981 75.7 -123.78697 -48.33862
N10111476 -11.038 0.977 2.97991 587.899 381.357 69.2 -123.16861 -48.24825
N10111477 -10.875 0.969 2.42047 562.494 368.189 64.3 -123.02350 -48.20638
N10111478 -9.874 0.980 2.18151 542.780 359.128 72.8 -122.74717 -48.41653
N10111479 -11.049 1.049 3.03525 585.054 380.055 64.9 -123.55066 -48.26650
N1011147 -10.732 1.022 1.41323 515.477 345.911 -7.5 -122.31105 -47.87397
N10111480 -10.823 1.012 2.40066 562.981 368.444 62.2 -122.85411 -48.19584
N10111481 -10.911 1.063 2.37334 559.690 365.064 70.0 -123.47886 -48.22723
N10111482 -11.018 1.030 3.06588 586.555 381.123 64.9 -123.41072 -48.23506
N10111483 -10.597 1.034 2.39616 563.332 366.986 67.0 -123.53936 -48.28742
N10111484 -10.787 1.016 2.54106 568.966 371.061 60.6 -123.02310 -48.32733
N10111485 -10.500 1.003 2.58963 567.976 370.800 57.0 -122.80423 -48.30802
N10111486 -10.729 1.085 2.55551 573.105 371.547 65.5 -123.92257 -48.37892
N10111487 -10.667 1.059 2.51330 563.978 366.618 65.9 -123.63088 -48.31694
N10111488 -10.928 0.981 3.05717 579.910 377.357 66.5 -123.02683 -48.39687
N10111489 -10.873 0.971 3.14424 582.178 379.132 66.6 -122.61580 -48.32132
N1011148 -11.112 1.005 1.61386 525.521 352.947 -12.5 -122.02448 -47.86453
N10111490 -10.944 0.957 3.20705 581.566 379.225 66.3 -122.57138 -48.26145
N10111491 -10.893 0.946 2.70642 566.930 372.046 66.0 -122.63213 -48.20162
N10111492 -10.770 0.971 2.69831 569.735 372.141 71.3 -122.89711 -48.24090
N10111493 -10.984 0.965 3.17704 583.895 379.969 62.8 -122.70791 -48.24102
N10111494 -10.558 1.006 2.60726 565.278 369.205 69.6 -123.08772 -48.32170
N10111495 -10.861 0.974 2.69277 565.738 370.079 71.9 -122.72760 -48.21554
N10111496 -10.856 0.982 2.72186 564.317 369.409 70.7 -122.70321 -48.27656
N10111497 -10.949 0.950 3.42740 587.013 382.930 65.3 -122.43146 -48.23106
N10111498 -10.675 1.017 2.49344 566.244 370.774 54.8 -122.59777 -48.22474
N10111499 -10.742 1.000 2.64590 569.025 370.107 64.4 -123.11176 -48.24923
N1011149 -10.810 1.019 1.60391 521.490 350.675 -10.6 -122.08109 -47.90815
N101114 -10.802 0.998 2.41355 546.734 368.444 -27.1 -122.04929 -48.17070
NC111500 -10.600 1.005 2.71921 566.933 369.409 63.0 -123.03211 -48.24516
N10111501 -10.593 1.007 2.73168 569.414 370.908 63.5 -123.01849 -48.21947
N10111502 -10.756 1.044 2.54346 568.084 371.482 66.3 -123.30319 -48.60165
N10111503 -10.630 1.062 2.61948 571.811 372.440 66.6 -123.63106 -48.53726
N10111504 -10.509 1.079 2.64877 573.299 374.983 56.8 -123.11723 -48.66072
N10111505 -10.447 1.085 2.57466 565.048 370.107 69.7 -123.18835 -48.62765
N10111506 -10.645 1.075 2.81991 576.552 375.885 68.4 -123.45428 -48.57070
N10111507 -10.667 1.034 2.84312 571.803 374.735 67.4 -122.92045 -48.60069
N10111508 -10.735 1.024 2.62702 565.133 370.309 65.7 -123.15429 -48.63591
N10111509 -10.762 1.054 2.90341 577.375 376.593 65.6 -123.33869 -48.58371
N1011150 -10.925 1.049 1.46972 523.918 351.003 -14.4 -122.26492 -47.85890
N10111510 -10.675 1.045 2.86195 573.772 374.442 64.0 -123.31398 -48.56081
N10111511 -10.411 1.063 2.80676 572.236 373.444 61.9 -123.36667 -48.57765
N10111512 -10.667 1.054 2.74974 572.175 373.206 62.7 -123.43151 -48.54251
N10111513 -10.453 1.053 2.65765 572.912 373.292 51.1 -123.56284 -48.54308
N10111514 -10.672 1.058 2.82004 574.739 374.867 61.1 -123.62281 -48.60398
N10111515 -10.591 1.113 2.77633 576.657 377.104 67.5 -123.34356 -48.61043
N10111516 -10.509 0.998 2.91736 567.682 373.201 63.8 -122.64390 -48.51311
N10111517 -10.643 1.031 2.74023 566.173 371.471 66.4 -122.94706 -48.54756
N10111518 -10.598 1.013 2.92997 571.312 375.057 58.8 -122.88475 -48.56197
N10111519 -10.475 1.002 3.00753 570.711 375.096 63.1 -122.66083 -48.55096
N1011151 -10.920 1.029 1.65045 532.542 356.914 -13.5 -122.14979 -47.92065
N10111520 -10.591 1.059 2.71609 568.282 371.167 64.5 -123.39087 -48.45997
N10111521 -10.499 1.007 2.95952 571.307 375.245 58.9 -122.74736 -48.45664
N10111522 -10.645 1.047 2.83531 571.926 373.643 64.8 -123.19691 -48.50582
N10111523 -10.659 1.028 2.94747 576.829 376.708 60.7 -123.21222 -48.56621
N10111524 -10.391 1.048 2.84470 570.631 372.909 61.1 -123.30092 -48.52146
N10111525 -10.632 1.009 2.78050 567.916 372.748 60.0 -122.80092 -48.54108
N10111526 -10.494 1.029 2.99316 578.349 378.817 58.8 -122.78691 -48.64317
N10111527 -10.685 1.027 3.02974 576.716 378.138 66.1 -122.76977 -48.51539
N10111528 -10.755 1.036 3.05703 581.577 379.569 66.2 -123.13158 -48.53484
N10111529 -10.666 1.030 3.09508 576.621 376.961 67.7 -123.09671 -48.57689
N1011152 -10.927 1.028 1.69060 532.337 357.137 -16.4 -122.18009 -47.86315
N10111531 -10.690 1.035 3.17557 583.669 381.026 69.1 -123.09922 -48.50043
N10111532 -10.776 1.060 2.75240 574.730 374.624 62.6 -123.68943 -48.56103
N10111533 -10.717 1.076 2.90102 577.769 378.304 64.6 -123.07581 -48.57220
N10111534 -10.638 0.995 3.09687 573.540 376.989 62.1 -122.55451 -48.50539
N10111535 -10.667 1.098 3.10448 583.181 380.566 64.0 -123.39087 -48.59482
N10111536 -10.400 1.128 2.93744 581.900 379.325 63.6 -123.56741 -48.59082
N10111537 -10.633 1.051 3.09848 585.148 381.625 66.4 -123.08801 -48.58719
N10111538 -10.591 1.060 3.14411 581.030 380.994 58.0 -122.83067 -48.56219
N10111539 -10.676 1.061 3.17632 584.943 381.695 63.8 -123.28965 -48.56903
N1011153 -10.891 1.030 1.62776 529.533 355.229 -12.6 -122.21421 -47.86794
N10111540 -11.149 1.006 3.37766 600.307 387.779 49.6 -122.92868 -48.24962
N10111541 -10.763 0.999 3.19222 589.086 381.741 59.4 -123.19497 -48.24436
N10111542 -10.904 0.992 3.15479 589.373 381.625 59.3 -122.99315 -48.32082
N10111543 -10.655 0.952 3.44736 589.699 383.073 57.0 -122.55828 -48.29997
N10111544 -10.844 0.977 3.48695 590.954 383.850 54.9 -122.63524 -48.27943
N10111545 -10.811 0.996 3.57247 593.321 385.214 47.0 -122.74678 -48.32512
N10111546 -10.796 1.058 3.28336 592.738 384.789 61.3 -123.27232 -48.60119
N10111547 -10.640 1.039 3.14819 583.089 379.242 52.1 -123.40887 -48.56874
N10111548 -10.887 1.076 3.95983 601.481 391.391 54.0 -123.17091 -48.64188
N10111549 -10.626 1.003 3.22737 577.201 378.148 56.7 -122.74268 -48.51976
N1011154 -11.054 1.023 1.91742 542.430 363.928 -17.8 -122.00125 -47.83827
N10111550 -10.581 0.999 3.36834 582.319 382.591 45.3 -122.48638 -48.49664
N10111551 -10.381 1.005 3.33769 578.209 379.032 49.1 -122.69686 -48.50456
N10111552 -10.838 0.941 2.42010 564.341 369.420 65.1 -123.00388 -48.23425
N10111553 -10.935 1.004 2.44303 566.062 370.309 63.2 -123.06646 -48.31711
N10111554 -10.727 1.013 2.61927 573.130 373.292 76.2 -123.69175 -48.33280
N10111555 -10.724 1.053 2.47122 572.655 372.311 72.0 -123.62632 -48.34829
N10111556 -10.891 0.972 2.72722 570.755 372.729 72.0 -123.15422 -48.30781
N10111557 -10.579 1.068 2.49139 567.267 369.600 68.9 -123.82866 -48.32376
N10111558 -10.738 1.010 2.63540 570.700 370.947 73.2 -123.29582 -48.26025
N10111559 -10.855 0.978 2.69491 577.555 376.106 76.5 -123.35810 -48.27161
N1011155 -10.935 1.112 1.31208 516.099 344.807 3.7 -123.52689 -48.10223
N10111560 -10.889 1.029 2.61657 569.268 371.167 71.9 -123.45120 -48.34159
N10111561 -10.751 1.029 2.64660 569.876 370.490 68.2 -123.32633 -48.22748
N10111562 -10.830 1.010 2.37541 562.129 368.019 54.0 -122.95189 -48.16684
N10111563 -10.850 0.952 2.46267 558.741 366.618 66.1 -122.65197 -48.23714
N10111564 -10.724 0.992 2.56448 566.462 369.746 76.2 -123.18762 -48.31507
N10111565 -10.840 0.967 2.81043 568.436 372.046 73.9 -122.57557 -48.28177
N10111566 -10.734 1.024 2.36815 560.975 367.492 65.3 -122.60290 -48.19939
N10111567 -10.763 0.964 2.69583 567.030 370.684 76.0 -122.83143 -48.25530
N10111568 -10.614 1.000 2.60707 566.726 370.107 80.0 -123.09101 -48.28369
N10111569 -10.895 1.068 2.62106 574.724 374.225 72.7 -123.52318 -48.34494
N1011156 -10.939 1.025 1.39945 519.183 347.599 -0.8 -122.71246 -48.06377
N10111570 -10.805 0.978 2.57406 564.240 368.614 77.0 -122.83241 -48.24114
N10111571 -10.886 1.008 2.52895 563.505 369.473 63.5 -122.86955 -48.22208
N10111572 -10.683 1.032 2.60348 566.649 368.614 74.7 -123.24203 -48.28519
N10111573 -10.743 1.015 2.65545 569.487 370.417 72.3 -123.25119 -48.31101
N10111574 -10.657 1.008 2.67526 569.204 370.490 72.4 -123.14623 -48.21455
N10111575 -10.705 1.031 2.58804 568.482 369.600 67.6 -123.33001 -48.24602
N10111576 -10.849 0.940 2.69432 567.165 372.188 69.1 -122.54199 -48.29526
N10111577 -10.771 0.961 2.87539 570.853 373.444 78.8 -122.75429 -48.27979
N10111578 -10.597 0.998 2.68516 567.634 370.927 83.9 -123.01557 -48.28236
N10111579 -10.800 0.972 2.80138 566.746 371.078 77.0 -122.64242 -48.25954
N1011157 -10.801 1.026 1.55481 526.211 352.365 -6.3 -122.85118 -48.07030
N10111580 -10.641 0.992 2.67468 568.252 369.900 77.5 -123.07476 -48.27404
N10111581 -10.658 0.998 2.74491 570.258 371.264 77.1 -123.06272 -48.29018
N10111582 -10.686 1.007 2.69928 565.162 368.348 69.1 -123.06120 -48.28656
N10111583 -10.852 0.975 2.84508 569.293 372.595 79.9 -122.63163 -48.25927
N10111584 -10.580 1.009 2.75546 568.516 370.417 74.6 -123.00572 -48.28328
N10111585 -10.732 0.980 2.70182 572.284 373.483 78.9 -123.01107 -48.26311
N10111586 -10.782 1.015 2.76523 574.794 373.643 74.2 -123.16602 -48.27489
N10111587 -10.792 0.995 2.59234 569.007 371.425 61.3 -122.80084 -48.27312
N10111588 -10.679 1.006 2.62597 567.603 370.619 60.1 -122.89724 -48.28902
N10111589 -10.502 1.009 2.58804 565.978 369.734 56.5 -122.92536 -48.26707
N1011158 -10.895 1.044 1.40979 517.889 346.761 -4.8 -123.10468 -48.08727
N10111590 -10.757 0.997 2.55022 570.685 372.141 58.1 -122.81937 -48.27871
N10111591 -10.787 1.005 2.69362 569.997 372.395 53.4 -122.79884 -48.24406
N10111592 -10.778 1.015 2.87509 576.268 376.261 76.1 -122.63169 -48.44984
N10111593 -10.812 0.982 2.87002 566.789 371.291 79.0 -122.57540 -48.32710
N10111594 -10.536 1.104 2.82137 580.936 377.104 75.0 -123.70250 -48.44067
N10111595 -10.691 0.992 2.61546 563.206 369.889 46.5 -122.48703 -48.25864
N10111596 -10.748 0.989 2.69401 571.816 374.804 51.5 -122.36893 -48.26310
N10111597 -10.723 1.024 2.85218 571.517 374.906 50.3 -123.06485 -48.52018
N10111598 -10.684 1.028 2.92161 575.620 377.275 68.0 -122.83687 -48.55394
N10111599 -10.719 1.016 2.88967 570.726 374.536 65.6 -122.87219 -48.58731
N1011159 -10.998 1.021 1.52847 526.928 352.775 -9.2 -122.51489 -47.98518
N101115 -10.822 0.996 2.44424 547.249 368.836 -22.3 -122.01605 -48.18584
N10111600 -10.733 1.023 3.07518 581.636 379.715 72.3 -123.07195 -48.54019
N10111601 -10.606 1.034 2.83862 573.125 374.290 72.5 -123.27959 -48.47376
N10111602 -10.727 1.020 3.02832 577.800 377.523 69.4 -122.97404 -48.53428
N10111603 -10.442 1.044 2.87038 577.335 376.851 66.4 -123.07898 -48.50217
N10111604 -10.717 1.016 3.15733 583.464 381.026 72.6 -122.95373 -48.46758
N10111605 -10.755 1.027 3.10371 576.767 377.248 66.9 -122.97036 -48.56255
N10111606 -10.774 1.010 3.06050 576.133 378.081 65.0 -122.72771 -48.56478
N10111607 -10.623 1.005 3.04926 574.117 377.220 61.5 -122.69131 -48.46988
N10111608 -10.581 1.017 2.98507 575.825 376.349 73.8 -122.99747 -48.51141
N10111609 -10.686 1.072 3.10702 585.592 381.846 71.6 -122.99874 -48.62802
N1011160 -11.024 1.033 1.58536 527.973 353.653 -6.9 -122.63704 -48.06644
N10111610 -10.638 1.029 2.98269 580.085 379.900 60.8 -122.77259 -48.58458
N10111611 -10.590 0.999 3.21255 576.076 378.773 62.2 -122.52452 -48.51953
N10111612 -10.483 1.029 2.76919 568.298 372.729 67.0 -123.08923 -48.53442
N10111613 -10.652 1.041 2.93239 574.033 375.168 70.6 -122.88891 -48.48402
N10111614 -10.629 1.076 3.09240 586.446 382.179 68.0 -123.27090 -48.63543
N10111615 -10.420 1.022 2.93856 575.675 376.106 74.4 -123.08125 -48.51817
N10111616 -10.672 1.047 2.80962 575.644 376.708 57.6 -123.14702 -48.56630
N10111617 -10.722 1.018 3.20244 582.856 382.295 62.2 -122.59477 -48.59593
N10111618 -10.648 1.024 2.97467 577.715 377.248 63.2 -123.12239 -48.52706
N10111619 -10.611 1.023 3.22198 582.625 380.770 69.6 -122.95820 -48.54985
N1011161 -11.047 1.019 1.57668 527.248 353.183 -8.0 -122.75747 -47.98995
N10111620 -10.775 1.018 3.18379 576.947 378.920 71.3 -122.78773 -48.54739
N10111621 -10.631 1.017 3.09282 578.404 378.081 71.1 -122.93838 -48.50966
N10111622 -10.413 1.012 3.04519 578.741 378.204 74.3 -122.94353 -48.49558
N10111623 -10.688 1.070 3.02145 579.968 378.526 67.6 -123.17818 -48.62752
N10111624 -10.749 1.018 3.07951 576.646 377.248 70.1 -123.03142 -48.52181
N10111625 -10.669 1.013 3.15387 579.699 379.032 70.3 -122.88402 -48.47406
N10111626 -10.736 1.002 3.23628 578.203 380.016 60.4 -122.59131 -48.50142
N10111627 -10.685 1.030 3.13437 581.206 379.715 70.3 -123.06527 -48.53698
N10111628 -10.961 1.028 2.74402 576.051 374.063 77.4 -123.10634 -48.27985
N10111629 -10.838 0.872 2.47541 557.527 366.485 68.4 -121.86427 -47.95697
N1011162 -11.025 1.045 1.60315 529.241 354.458 -9.1 -122.94828 -47.96491
N10111630 -10.851 0.938 2.40373 557.531 364.691 70.1 -122.33515 -48.03395
N10111631 -10.590 0.955 2.43196 553.741 362.802 73.6 -122.20649 -48.05555
N10111632 -10.731 0.992 2.45477 557.635 363.524 66.4 -122.62173 -48.08166
N10111633 -10.970 1.009 2.95121 580.618 377.500 59.8 -122.56782 -48.18393
N10111634 -10.625 1.026 2.95313 570.687 374.560 71.2 -122.88757 -48.49397
N10111635 -10.741 1.031 3.05109 575.324 376.106 66.0 -123.14806 -48.50770
N10111636 -10.436 1.024 3.11259 581.265 379.457 67.2 -123.02602 -48.53053
N10111637 -10.535 0.997 3.12073 572.238 376.285 60.8 -122.58128 -48.42667
N10111638 -10.769 0.933 2.37402 567.349 370.800 83.2 -122.99033 -48.29501
N1C111639 -10.890 0.971 2.30689 560.695 366.718 72.8 -122.97903 -48.27663
N1011163 -11.069 1.116 1.45696 525.238 351.039 -9.8 -123.50753 -47.96663
N10111640 -10.652 0.961 2.52340 569.160 370.981 79.9 -123.09655 -48.22971
N10111641 -10.805 0.942 2.30425 564.566 369.059 81.5 -123.12047 -48.26001
N10111642 -10.851 1.015 2.32705 562.980 367.965 81.3 -123.45086 -48.30335
N10111643 -10.786 1.013 2.58047 573.043 373.177 84.6 -123.59216 -48.36232
N10111644 -10.910 0.938 2.48910 564.730 369.999 83.8 -123.06568 -48.21499
N10111645 -10.835 1.011 2.32053 562.715 367.869 79.6 -123.32335 -48.34800
N10111646 -10.940 0.986 2.53217 568.411 370.704 82.2 -123.18960 -48.26793
N10111647 -10.787 0.981 2.58261 569.966 371.566 79.1 -123.27918 -48.35159
N10111648 -10.792 0.980 2.45321 559.798 366.922 82.2 -123.12709 -48.33274
N10111649 -10.724 0.972 2.48485 565.663 368.937 82.5 -123.12204 -48.25183
N1011164 -11.039 1.054 1.69242 533.211 357.165 -13.8 -122.65603 -48.01031
N10111650 -10.919 0.925 2.51935 566.128 370.908 82.5 -122.70763 -48.21728
N10111651 -10.770 0.941 2.56841 572.395 372.997 79.4 -122.92369 -48.19752
N10111652 -10.627 0.993 2.46959 565.707 368.995 82.7 -123.19188 -48.25607
N10111653 -9.661 1.033 2.47120 561.693 370.424 79.6 -122.85074 -48.55174
N10111654 -10.812 0.921 2.41056 562.538 368.348 75.7 -123.04326 -48.23842
N10111655 -10.781 0.987 2.50122 572.269 372.621 78.6 -123.36539 -48.27177
N10111656 -10.853 0.983 2.60232 576.570 375.257 82.5 -123.38333 -48.24379
N10111657 -10.850 0.980 2.58992 567.684 370.601 80.0 -122.85057 -48.20577
N10111658 -10.888 1.041 2.56728 572.271 372.595 79.8 -123.49670 -48.33783
N10111659 -10.823 1.032 2.40062 563.422 367.210 76.0 -123.42091 -48.34605
N1011165 -11.161 1.035 1.81797 538.945 361.088 -10.5 -122.74058 -47.92755
N10111660 -10.874 0.941 2.52793 563.950 369.734 80.9 -122.76842 -48.24289
N10111661 -10.750 1.017 2.53330 567.484 369.945 81.6 -123.47012 -48.30324
N10111662 -10.549 0.996 2.46741 564.607 368.348 82.4 -123.13388 -48.24646
N10111663 -10.655 1.010 2.53129 565.509 369.059 78.3 -123.18962 -48.36585
N10111664 -10.794 1.008 2.61898 567.661 370.490 81.7 -123.36151 -48.25260
N1C111665 -10.846 0.985 2.64435 569.544 371.887 79.8 -122.90492 -48.20408
N1C111666 -10.905 0.982 2.39848 563.081 368.559 83.6 -122.88232 -48.30608
N10111667 -10.790 0.933 2.58392 562.146 368.975 82.1 -122.51786 -48.24616
N1C0111668 -10.781 0.986 2.48590 563.346 367.728 80.7 -123.06888 -48.26444
N10111669 -9.475 0.975 2.75920 596.904 386.511 78.6 -123.30238 -48.61628
N1011166 -10.809 1.077 1.35231 512.864 343.793 -4.7 -122.67668 -48.11040
N10111670 -10.599 0.985 2.56269 568.044 370.704 81.7 -122.93763 -48.26350
N10111671 -10.642 0.939 2.36734 554.145 363.665 75.5 -122.64924 -48.34560
N10111672 -10.842 0.949 2.55158 561.895 368.614 84.9 -122.77834 -48.29948
N10111673 -10.780 0.931 2.46109 559.461 366.903 82.6 -122.51057 -48.36114
N10111674 -10.850 0.943 2.56459 562.447 369.114 73.3 -122.62674 -48.28147
N10111675 -10.754 0.928 2.39023 557.234 365.509 81.8 -122.53879 -48.34589
N10111676 -10.775 0.982 2.54847 564.871 368.836 80.7 -123.02417 -48.27700
N10111677 -10.725 0.952 2.45019 561.542 368.092 81.4 -122.79262 -48.31897
N10111678 -10.805 0.974 2.62807 562.876 368.222 80.9 -122.75757 -48.29440
N10111679 -10.749 1.000 2.61111 570.885 372.205 82.3 -122.91447 -48.41026
N1011167 -10.907 1.095 1.44707 520.947 348.881 -5.4 -123.03821 -48.00963
N10111680 -10.586 1.010 2.53504 564.768 368.697 85.3 -123.16490 -48.34923
N1C0111681 -10.861 1.016 2.64412 570.438 372.165 81.5 -123.05384 -48.39468
N10111682 -10.733 0.976 2.62204 566.120 369.856 81.1 -122.87701 -48.25536
N10111683 -10.662 0.961 2.56135 563.563 368.230 77.7 -122.88409 -48.27813
N10111684 -10.669 0.997 2.54457 566.118 369.409 76.9 -123.39023 -48.29244
N10111685 -10.571 0.999 2.55023 565.469 369.182 86.0 -123.09579 -48.30340
N1C0111686 -10.811 0.972 2.60688 563.053 368.222 78.0 -122.73811 -48.27152
N10111687 -10.736 1.012 2.54919 558.837 365.428 77.9 -123.08138 -48.39247
N1C111688 -10.890 0.984 2.68927 565.512 369.856 77.0 -122.77857 -48.25047
N10111689 -10.837 1.014 2.58666 562.972 367.939 79.2 -123.10564 -48.34986
N1011168 -10.806 1.062 1.40152 517.359 346.754 -7.2 -122.36187 -47.99369
N1C111690 -10.486 0.997 2.55229 563.588 368.222 82.7 -122.97388 -48.31286
N10111691 -10.747 0.947 2.47405 561.254 368.073 77.6 -122.67997 -48.31611
N10111692 -10.807 1.008 2.64769 570.649 372.265 79.1 -122.97320 -48.34167
N10111693 -10.633 0.979 2.56336 568.111 370.601 81.4 -122.99863 -48.36122
